date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:05:43	21175/21175	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:22%20GMT	https://templates.envytheme.com/depan/rtl/politics.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/politics.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:44	20919/20919	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:19%20GMT	https://templates.envytheme.com/depan/rtl/business.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/business.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:46	22667/22667	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:23%20GMT	https://templates.envytheme.com/depan/rtl/technology.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/technology.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:46	22624/22624	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:23%20GMT	https://templates.envytheme.com/depan/rtl/sport.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/sport.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:47	22666/22666	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:20%20GMT	https://templates.envytheme.com/depan/rtl/culture.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/culture.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:48	25966/25966	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:24%20GMT	https://templates.envytheme.com/depan/rtl/video.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/video.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:49	26929/26929	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:22%20GMT	https://templates.envytheme.com/depan/rtl/news.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/news.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:50	26954/26954	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:22%20GMT	https://templates.envytheme.com/depan/rtl/news-right-sidebar.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/news-right-sidebar.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:50	26964/26964	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:22%20GMT	https://templates.envytheme.com/depan/rtl/news-left-sidebar.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/news-left-sidebar.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:51	17950/17950	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:22%20GMT	https://templates.envytheme.com/depan/rtl/news-without-sidebar.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/news-without-sidebar.html	(from https://templates.envytheme.com/depan/rtl/index.html)
